,COMID,LON_DD,LAT_DD,region_vpu,CatArea,WsArea,CatPctFull,WsPctFull,PctImp2006Cat,PctImp2006Ws
104,8448522,-77.181181,39.64838,MA_02,5.8707,5.8707,100,100,9.722367009,9.722367009
105,8456876,-76.59531,37.594372,MA_02,1.4832,1.4832,100,100,2.289441748,2.289441748
106,8464741,-77.970492,38.784367,MA_02,0.1413,67.2714,100,100,0,0.164691087
107,8468265,-78.304888,38.449487,MA_02,1.1268,7.0011,100,100,0.350638978,0.178172002
108,8468265,-78.304888,38.449487,MA_02,1.1268,7.0011,100,100,0.350638978,0.178172002
109,8490226,-77.639797,38.203262,MA_02,4.9041,134.3916,100,100,0.285006423,0.409619351
110,8521219,-79.711857,37.996557,MA_02,5.8221,45.5958,100,100,0.119492966,0.07175003
111,8524899,-80.186796,37.620492,MA_02,2.0574,11.2869,100,100,0.274278215,0.092735826
112,8526555,-80.348271,37.463344,MA_02,0.6606,5.7447,100,100,0.164850136,0.060629798
113,8538335,-79.37635,38.177194,MA_02,5.652,5.652,100,100,0.046974522,0.046974522
114,8539107,-79.158912,37.884949,MA_02,5.0463,5.0463,100,100,0.151061174,0.151061174
115,8546353,-78.345295,37.689468,MA_02,21.4803,40.9887,100,100,0.570117736,0.474540544
116,8546607,-78.903283,37.633197,MA_02,2.3859,514.5174,100,100,0.534138061,0.575695399
117,8547459,-78.822007,37.866973,MA_02,0.756,246.2904,100,100,2.267857143,0.940538486
118,8549713,-79.383514,37.508941,MA_02,0.3816,42.9912,100,100,0.058962264,0.440671579
119,8550911,-78.882214,37.477765,MA_02,0.0801,142.1091,100,100,0,0.551821101
120,8566647,-78.5873,38.150285,MA_02,7.0335,18.7488,100,100,0.564555342,0.270209293
121,8566647,-78.5873,38.150285,MA_02,7.0335,18.7488,100,100,0.564555342,0.270209293
122,8568113,-78.22958,37.84505,MA_02,2.1447,9.0486,100,100,0.084347461,0.243087328
123,8572603,-77.989567,37.707717,MA_02,1.1394,1.1394,100,100,0,0
124,8572603,-77.989567,37.707717,MA_02,1.1394,1.1394,100,100,0,0
125,8610017,-78.047644,37.391419,MA_02,0.1791,195.84,100,100,0,0.500988051
126,8610245,-78.64555556,37.36888889,MA_02,1.1664,36.5202,100,100,0.111111111,0.136650402
127,8611255,-78.424088,37.222551,MA_02,3.8394,82.5768,100,100,0.339193624,0.244888395
128,8611825,-78.636111,37.415278,MA_02,1.9764,23.9157,100,100,0.034153005,0.122229331
129,9406186,-75.64292,39.02432,MA_02,0.4878,5.7015,100,100,0,0.599368587
130,9420631,-75.886589,42.558274,MA_02,2.7864,364.7421,100,100,0.369186047,0.21035411
131,9423505,-75.789983,42.262413,MA_02,1.3617,1.3617,100,100,0.137475215,0.137475215
132,9441153,-74.408971,40.185091,MA_02,4.9644,4.9644,100,100,1.318165337,1.318165337
133,9442093,-74.414977,40.17127,MA_02,3.2193,10.0053,100,100,9.782219737,4.007106234
134,9446405,-74.883811,39.717174,MA_02,2.4885,2.4885,100,100,3.900180832,3.900180832
135,9454051,-74.828772,39.794596,MA_02,0.7875,14.4144,100,100,0,0.406780719
136,9454265,-74.840917,39.75068,MA_02,9.3051,19.2069,100,100,5.450430409,9.99695422
137,9512816,-74.714762,40.710392,MA_02,2.3184,12.8646,100,100,0.850931677,0.617811669
138,9521357,-73.477017,44.738112,MA_02,24.5997,24.5997,100,100,2.486737643,2.486737643
139,9528365,-73.626667,44.147222,MA_02,12.7845,98.0397,100,100,0.79500176,0.160741006
140,10313592,-73.0884,43.2611,MA_02,56.403,56.403,100,100,0.485830541,0.485830541
141,11687200,-76.7083,39.5984,MA_02,3.6702,3.6702,100,100,0.589995096,0.589995096
142,11689748,-76.729683,39.236965,MA_02,4.5,4.5,100,100,15.7524,15.7524
143,11691380,-77.081795,39.36572,MA_02,5.6394,19.5849,100,100,1.726619853,7.495703322
144,11905914,-76.800193,39.052246,MA_02,0.2223,397.971,100,100,2.457489879,4.941846265
145,11909218,-76.697373,38.440545,MA_02,3.7413,3.7413,100,100,3.640365648,3.640365648
146,22296408,-74.472742,43.225481,MA_02,3.1302,3.9024,100,100,0,0
147,22337801,-76.981415,38.827914,MA_02,5.3073,5.3073,100,100,34.60335764,34.60335764
148,6268432,-83.237095,34.74253,SA_03N,1.9503,1.9503,100,100,1.021688971,1.021688971
149,6268432,-83.237095,34.74253,SA_03N,1.9503,1.9503,100,100,1.021688971,1.021688971
150,8625263,-79.356143,37.228074,SA_03N,4.0572,25.8003,100,100,1.278393966,1.190114068
151,8626275,-79.605376,37.111161,SA_03N,0.6138,1.3329,100,100,0.140762463,0.412559082
152,8626275,-79.605376,37.111161,SA_03N,0.6138,1.3329,100,100,0.140762463,0.412559082
153,8626849,-79.829901,37.049217,SA_03N,1.9476,305.9289,100,100,0.365064695,0.552072393
154,8632155,-79.7506,36.9258,SA_03N,4.6368,157.8429,100,100,0.113742236,0.459285784
155,8649432,-79.096493,37.17479,SA_03N,2.7099,3.3255,100,100,2.206575888,2.011907984
156,8671625,-79.834546,36.781529,SA_03N,1.4877,6.7644,100,100,0.079249849,0.210883449
157,8674401,-80.165264,36.792348,SA_03N,10.4499,13.185,100,100,0.208423047,0.212696246
158,8674849,-80.447372,36.650152,SA_03N,2.0448,102.3021,100,100,0.095510563,0.343532537
159,8693461,-78.926921,36.557967,SA_03N,0.8001,11.6757,100,100,0,0.444692824
160,8693461,-78.926921,36.557967,SA_03N,0.8001,11.6757,100,100,0,0.444692824
161,8712905,-79.216665,36.748189,SA_03N,8.8281,8.8281,100,100,0.551432358,0.551432358
162,8741611,-77.772776,36.59609,SA_03N,1.6767,69.066,100,100,0.660225443,0.695452176
163,8743673,-78.357878,36.929902,SA_03N,5.3757,6.1947,100,100,0.190691445,0.194246695
164,8845373,-78.91,35.487222,SA_03N,1.3392,37.9062,100,100,0.015456989,0.810104943
165,8874878,-79.54068,35.459091,SA_03N,6.966,54.0909,100,100,0.204909561,0.307382573
166,9202847,-80.656892,35.161044,SA_03N,3.9834,3.9834,100,100,3.363081789,3.363081789
167,9251164,-81.510429,36.11175,SA_03N,3.1086,3.1086,100,100,0.255935148,0.255935148
168,9252566,-80.360111,35.87602,SA_03N,1.5912,5.8707,100,100,1.03280543,1.19254944
169,9681166,-80.901877,33.756364,SA_03N,1.7541,55.3356,100,100,1.234992304,0.970268688
170,9707514,-81.049278,34.266027,SA_03N,5.058,6.2181,100,100,0.196263345,0.321609495
171,9750290,-81.877509,36.081674,SA_03N,3.2571,9.1467,100,100,0.686101133,0.999901604
172,9753448,-81.7449,35.643665,SA_03N,1.7343,1.7343,100,100,0.373637779,0.373637779
173,9755178,-82.074794,35.758201,SA_03N,2.1816,2.1816,100,100,0,0
174,11238783,-77.754145,35.385368,SA_03N,2.3418,2.3418,100,100,0.26633359,0.26633359
175,20152201,-81.052642,32.684693,SA_03N,45.8154,175.7853,100,100,0.27910266,0.377816575
